path,size_bytes,modified_utc,included_in_raw_zip,line_count,parse_errors
logs\account_state_2026-06-24.jsonl,359,2026-06-24T20:40:33.527079+00:00,True,1,0
logs\account_state_2026-06-25.jsonl,161556,2026-06-25T23:59:42.622418+00:00,True,397,0
logs\account_state_2026-06-26.jsonl,23252984,2026-06-26T21:09:08.714076+00:00,True,49168,0
logs\architecture5_model_sanity_20260625_132400.json,1723,2026-06-25T13:24:00.703935+00:00,True,,
logs\data_quality_buy_and_hold_audusd_probe.log,53240,2026-06-24T14:50:48.828931+00:00,True,,
logs\data_quality_do_nothing_202605101800_202606101759.log,53240,2026-06-24T22:55:13.812771+00:00,True,,
logs\data_quality_do_nothing_202605102100_202606102059.log,8360,2026-06-24T23:35:28.808665+00:00,True,,
logs\data_quality_do_nothing_202605110000_202605120000.log,4400,2026-06-24T16:36:24.167544+00:00,True,,
logs\data_quality_do_nothing_202605110000_202606102359.log,53680,2026-06-24T16:26:21.944306+00:00,True,,
logs\data_quality_do_nothing_202605120000_202605130000.log,4400,2026-06-24T16:46:21.123175+00:00,True,,
logs\data_quality_do_nothing_202605130000_202605140000.log,4400,2026-06-24T16:55:55.947173+00:00,True,,
logs\data_quality_do_nothing_202605140000_202605150000.log,4400,2026-06-24T17:05:49.707850+00:00,True,,
logs\data_quality_do_nothing_202605150000_202605160000.log,2200,2026-06-24T17:13:44.893373+00:00,True,,
logs\data_quality_do_nothing_202605160000_202605170000.log,440,2026-06-24T17:14:01.787410+00:00,True,,
logs\data_quality_do_nothing_202605170000_202605180000.log,2640,2026-06-24T17:15:06.187654+00:00,True,,
logs\data_quality_do_nothing_202605180000_202605190000.log,4400,2026-06-24T17:24:32.627380+00:00,True,,
logs\data_quality_do_nothing_202605190000_202605200000.log,4400,2026-06-24T17:34:31.430995+00:00,True,,
logs\data_quality_do_nothing_202605200000_202605210000.log,4400,2026-06-24T17:46:28.778846+00:00,True,,
logs\data_quality_do_nothing_202605210000_202605220000.log,3960,2026-06-24T17:57:18.285077+00:00,True,,
logs\data_quality_do_nothing_202605220000_202605230000.log,1760,2026-06-24T18:04:30.658193+00:00,True,,
logs\data_quality_do_nothing_202605230000_202605240000.log,440,2026-06-24T18:06:52.220724+00:00,True,,
logs\data_quality_do_nothing_202605240000_202605250000.log,2640,2026-06-24T18:08:08.738419+00:00,True,,
logs\data_quality_do_nothing_202605250000_202605260000.log,4400,2026-06-24T18:13:43.053559+00:00,True,,
logs\data_quality_do_nothing_202605260000_202605270000.log,4400,2026-06-24T18:18:45.402660+00:00,True,,
logs\data_quality_do_nothing_202605270000_202605280000.log,4400,2026-06-24T18:24:12.760040+00:00,True,,
logs\data_quality_do_nothing_202605280000_202605290000.log,4400,2026-06-24T18:30:00.973035+00:00,True,,
logs\data_quality_do_nothing_202605290000_202605300000.log,2200,2026-06-24T18:34:34.743622+00:00,True,,
logs\data_quality_do_nothing_202605300000_202605310000.log,440,2026-06-24T18:34:44.085442+00:00,True,,
logs\data_quality_do_nothing_202605310000_202606010000.log,2640,2026-06-24T18:35:29.223832+00:00,True,,
logs\data_quality_do_nothing_202606010000_202606020000.log,4400,2026-06-24T18:40:56.387533+00:00,True,,
logs\data_quality_do_nothing_202606020000_202606030000.log,4400,2026-06-24T18:46:31.113268+00:00,True,,
logs\data_quality_do_nothing_202606030000_202606040000.log,4400,2026-06-24T18:52:38.265915+00:00,True,,
logs\data_quality_do_nothing_202606040000_202606050000.log,4400,2026-06-24T18:58:28.725415+00:00,True,,
logs\data_quality_do_nothing_202606050000_202606060000.log,2200,2026-06-24T19:03:54.050101+00:00,True,,
logs\data_quality_do_nothing_202606060000_202606070000.log,440,2026-06-24T19:04:16.692257+00:00,True,,
logs\data_quality_do_nothing_202606070000_202606080000.log,3080,2026-06-24T19:05:08.217330+00:00,True,,
logs\data_quality_do_nothing_202606080000_202606090000.log,5280,2026-06-24T19:11:56.767212+00:00,True,,
logs\data_quality_do_nothing_202606090000_202606100000.log,5280,2026-06-24T19:21:14.747825+00:00,True,,
logs\data_quality_do_nothing_202606100000_202606102359.log,2640,2026-06-24T19:30:23.797370+00:00,True,,
logs\data_quality_future_leaker_202601010000_202601020000.log,0,2026-06-24T13:50:33.543406+00:00,True,,
logs\data_quality_strategy_v0_202605101800_202605110000.log,26400,2026-06-24T18:26:11.919453+00:00,True,,
logs\data_quality_strategy_v0_202605102100_202605110300.log,26400,2026-06-24T18:28:19.083503+00:00,True,,
logs\data_quality_strategy_v0_202605110000_202605110600.log,211200,2026-06-24T18:51:39.841362+00:00,True,,
