ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id,time_iso,time_msc_iso
51380,46678,1782154438,1782154438909,0,0,0,46678,0,0.01,0.70031,0.0,0.0,0.0,0.0,AUDUSD,,3LIVSRVOLXTWN,2026-06-22T18:53:58+00:00,2026-06-22T18:53:58.909000+00:00
231910,226826,1782330924,1782330924392,1,1,0,46678,0,0.01,0.6887,0.0,0.0,-11.61,0.0,AUDUSD,,3LJ2TCCLUPU3J,2026-06-24T19:55:24+00:00,2026-06-24T19:55:24.392000+00:00
510080,642742,1782430240,1782430240725,0,0,10181,642742,3,0.08,1.3192,0.0,0.0,0.0,0.0,GBPUSD,strategy_v0_reba,3LJ5NMS5AB7FS,2026-06-25T23:30:40+00:00,2026-06-25T23:30:40.725000+00:00
510081,642744,1782430240,1782430240755,0,0,10181,642744,3,0.14,0.69081,0.0,0.0,0.0,0.0,AUDUSD,strategy_v0_reba,3LJ5NMS64NGLJ,2026-06-25T23:30:40+00:00,2026-06-25T23:30:40.755000+00:00
515471,653980,1782432565,1782432565408,0,0,0,653980,0,0.01,161.792,0.0,0.0,0.0,0.0,USDJPY,,3LJ5PQH66TJ35,2026-06-26T00:09:25+00:00,2026-06-26T00:09:25.408000+00:00
515946,654450,1782432768,1782432768290,0,0,0,653980,0,0.1,161.793,0.0,0.0,0.0,0.0,USDJPY,,3LJ5PWE4JE5CQ,2026-06-26T00:12:48+00:00,2026-06-26T00:12:48.290000+00:00
516178,654652,1782432849,1782432849218,0,0,0,653980,0,0.2,161.792,0.0,0.0,0.0,0.0,USDJPY,,3LJ5PYPIDZK6E,2026-06-26T00:14:09+00:00,2026-06-26T00:14:09.218000+00:00
516305,654812,1782432899,1782432899601,0,0,0,653980,0,1.0,161.803,0.0,0.0,0.0,0.0,USDJPY,,3LJ5Q26FVNOZZ,2026-06-26T00:14:59+00:00,2026-06-26T00:14:59.601000+00:00
516533,655198,1782432955,1782432955273,0,0,0,653980,0,1.0,161.807,0.0,0.0,0.0,0.0,USDJPY,,3LJ5Q3SB2473Z,2026-06-26T00:15:55+00:00,2026-06-26T00:15:55.273000+00:00
516919,655970,1782433088,1782433088062,1,1,0,653980,0,1.0,161.811,0.0,0.0,4.76,0.0,USDJPY,,3LJ5Q7NWHSJNL,2026-06-26T00:18:08+00:00,2026-06-26T00:18:08.062000+00:00
516968,656025,1782433101,1782433101100,0,0,0,653980,0,1.0,161.816,0.0,0.0,0.0,0.0,USDJPY,,3LJ5QA22ZT7TU,2026-06-26T00:18:21+00:00,2026-06-26T00:18:21.100000+00:00
516969,656025,1782433101,1782433101106,0,0,0,653980,0,0.31,161.818,0.0,0.0,0.0,0.0,USDJPY,,3LJ5QA22ZTFBE,2026-06-26T00:18:21+00:00,2026-06-26T00:18:21.106000+00:00
517512,656757,1782433276,1782433276985,1,1,0,653980,0,1.0,161.814,0.0,0.0,2.54,0.0,USDJPY,,3LJ5QF5USBYPS,2026-06-26T00:21:16+00:00,2026-06-26T00:21:16.985000+00:00
517513,656757,1782433276,1782433276990,1,1,0,653980,0,0.31,161.812,0.0,0.0,0.41,0.0,USDJPY,,3LJ5QF5USC73G,2026-06-26T00:21:16+00:00,2026-06-26T00:21:16.990000+00:00
517650,656988,1782433328,1782433328061,1,1,0,642742,0,0.08,1.31884,0.0,0.0,-2.88,0.0,GBPUSD,,3LJ5QGNGYPUJA,2026-06-26T00:22:08+00:00,2026-06-26T00:22:08.061000+00:00
517720,657065,1782433350,1782433350852,1,1,0,653980,0,1.0,161.814,0.0,0.0,2.54,0.0,USDJPY,,3LJ5QHCOA57OY,2026-06-26T00:22:30+00:00,2026-06-26T00:22:30.852000+00:00
517721,657065,1782433350,1782433350857,1,1,0,653980,0,0.31,161.812,0.0,0.0,0.41,0.0,USDJPY,,3LJ5QHCOA5FOU,2026-06-26T00:22:30+00:00,2026-06-26T00:22:30.857000+00:00
517788,657148,1782433382,1782433382279,1,1,0,642744,0,0.14,0.69074,0.0,0.0,-0.98,0.0,AUDUSD,,3LJ5QI7WTAUIJ,2026-06-26T00:23:02+00:00,2026-06-26T00:23:02.279000+00:00
517833,657215,1782433392,1782433392436,0,0,0,657215,0,1.0,161.809,0.0,0.0,0.0,0.0,USDJPY,,3LJ5QIJFJATED,2026-06-26T00:23:12+00:00,2026-06-26T00:23:12.436000+00:00
517834,657215,1782433392,1782433392441,0,0,0,657215,0,0.31,161.811,0.0,0.0,0.0,0.0,USDJPY,,3LJ5QIJFJAYFH,2026-06-26T00:23:12+00:00,2026-06-26T00:23:12.441000+00:00
518163,657771,1782433495,1782433495768,1,1,0,657215,0,1.0,161.816,0.0,0.0,4.04,0.0,USDJPY,,3LJ5QLJMZWC2J,2026-06-26T00:24:55+00:00,2026-06-26T00:24:55.768000+00:00
518164,657771,1782433495,1782433495773,1,1,0,657215,0,0.31,161.814,0.0,0.0,0.87,0.0,USDJPY,,3LJ5QLJMZWIA4,2026-06-26T00:24:55+00:00,2026-06-26T00:24:55.773000+00:00
518554,658750,1782433622,1782433622677,0,0,0,658750,0,4.12,161.807,0.0,0.0,0.0,0.0,USDJPY,,3LJ5QP7T7TZZK,2026-06-26T00:27:02+00:00,2026-06-26T00:27:02.677000+00:00
518555,658750,1782433622,1782433622682,0,0,0,658750,0,0.88,161.808,0.0,0.0,0.0,0.0,USDJPY,,3LJ5QP7T7U7RV,2026-06-26T00:27:02+00:00,2026-06-26T00:27:02.682000+00:00
519960,661133,1782434108,1782434108732,1,1,0,658750,0,1.0,161.813,0.0,0.0,3.6,0.0,USDJPY,,3LJ5R5EISHGVL,2026-06-26T00:35:08+00:00,2026-06-26T00:35:08.732000+00:00
519961,661133,1782434108,1782434108737,1,1,0,658750,0,4.0,161.811,0.0,0.0,9.46,0.0,USDJPY,,3LJ5R5EISHMXK,2026-06-26T00:35:08+00:00,2026-06-26T00:35:08.737000+00:00
520638,662562,1782434353,1782434353247,0,0,0,662562,0,1.0,1.42021,0.0,0.0,0.0,0.0,USDCAD,,3LJ5REI7VQELF,2026-06-26T00:39:13+00:00,2026-06-26T00:39:13.247000+00:00
521231,663707,1782434599,1782434599866,1,1,0,662562,0,1.0,1.42027,0.0,0.0,4.22,0.0,USDCAD,,3LJ5RLNVQFBCB,2026-06-26T00:43:19+00:00,2026-06-26T00:43:19.866000+00:00
521438,663907,1782434670,1782434670174,1,0,0,663907,0,1.0,1.42023,0.0,0.0,0.0,0.0,USDCAD,,3LJ5RNPEZBTY5,2026-06-26T00:44:30+00:00,2026-06-26T00:44:30.174000+00:00
521711,664268,1782434743,1782434743676,0,0,10181,664268,3,0.08,1.31874,0.0,0.0,0.0,0.0,GBPUSD,strategy_v0_reba,3LJ5RPTTN6WJN,2026-06-26T00:45:43+00:00,2026-06-26T00:45:43.676000+00:00
521712,664269,1782434743,1782434743751,0,0,10181,664269,3,0.14,0.69032,0.0,0.0,0.0,0.0,AUDUSD,strategy_v0_reba,3LJ5RPTVUZ7TA,2026-06-26T00:45:43+00:00,2026-06-26T00:45:43.751000+00:00
521799,664400,1782434777,1782434777686,0,1,0,663907,0,1.0,1.42019,0.0,0.0,2.82,0.0,USDCAD,,3LJ5RQTJ6LDL7,2026-06-26T00:46:17+00:00,2026-06-26T00:46:17.686000+00:00
522009,664748,1782434847,1782434847251,0,0,0,664268,0,0.5,1.3188,0.0,0.0,0.0,0.0,GBPUSD,,3LJ5RSUCEORHJ,2026-06-26T00:47:27+00:00,2026-06-26T00:47:27.251000+00:00
522481,665380,1782435014,1782435014120,1,2,0,664269,0,0.58,0.69021,0.0,0.0,-1.54,0.0,AUDUSD,,3LJ5RXPPHRVVN,2026-06-26T00:50:14+00:00,2026-06-26T00:50:14.120000+00:00
522959,665946,1782435207,1782435207754,1,1,0,664268,0,0.58,1.31884,0.0,0.0,2.8,0.0,GBPUSD,,3LJ5S5E27UNDX,2026-06-26T00:53:27+00:00,2026-06-26T00:53:27.754000+00:00
523272,666702,1782435347,1782435347448,0,1,0,664269,0,0.44,0.69018,0.0,0.0,1.32,0.0,AUDUSD,,3LJ5SBG5FT3S7,2026-06-26T00:55:47+00:00,2026-06-26T00:55:47.448000+00:00
524143,668215,1782435644,1782435644425,0,0,10181,668215,3,0.08,1.31882,0.0,0.0,0.0,0.0,GBPUSD,strategy_v0_reba,3LJ5SK2PZU4B5,2026-06-26T01:00:44+00:00,2026-06-26T01:00:44.425000+00:00
524144,668216,1782435644,1782435644463,0,0,10181,668216,3,0.14,0.69006,0.0,0.0,0.0,0.0,AUDUSD,strategy_v0_reba,3LJ5SK2R6733A,2026-06-26T01:00:44+00:00,2026-06-26T01:00:44.463000+00:00
524718,669095,1782435844,1782435844184,1,1,0,668216,0,0.14,0.69006,0.0,0.0,0.0,0.0,AUDUSD,,3LJ5SPURCQUYG,2026-06-26T01:04:04+00:00,2026-06-26T01:04:04.184000+00:00
524808,669197,1782435884,1782435884205,1,1,0,668215,0,0.08,1.31894,0.0,0.0,0.96,0.0,GBPUSD,,3LJ5SQZZZLCIR,2026-06-26T01:04:44+00:00,2026-06-26T01:04:44.205000+00:00
526631,672698,1782436541,1782436541223,0,0,10181,672698,3,0.08,1.31918,0.0,0.0,0.0,0.0,GBPUSD,strategy_v0_reba,3LJ5TE5WPRXZ7,2026-06-26T01:15:41+00:00,2026-06-26T01:15:41.223000+00:00
528461,676696,1782437229,1782437229795,1,1,0,672698,0,0.08,1.31919,0.0,0.0,0.08,0.0,GBPUSD,,3LJ5TY77QKMQD,2026-06-26T01:27:09+00:00,2026-06-26T01:27:09.795000+00:00
530184,680556,1782437856,1782437856451,0,0,10181,680556,3,0.5,0.81035,0.0,0.0,0.0,0.0,USDCHF,profit_harvester,3LJ5UKGTK5NP3,2026-06-26T01:37:36+00:00,2026-06-26T01:37:36.451000+00:00
530185,680557,1782437856,1782437856480,0,0,10181,680557,3,0.1,4016.625,0.0,0.0,0.0,0.0,XAUUSD,profit_harvester,3LJ5UKGUGV7LW,2026-06-26T01:37:36+00:00,2026-06-26T01:37:36.480000+00:00
530188,680563,1782437856,1782437856568,1,0,10181,680563,3,0.5,0.68985,0.0,0.0,0.0,0.0,AUDUSD,profit_harvester,3LJ5UKGX2JIDB,2026-06-26T01:37:36+00:00,2026-06-26T01:37:36.568000+00:00
530189,680564,1782437856,1782437856598,1,0,10181,680564,3,0.5,1.13653,0.0,0.0,0.0,0.0,EURUSD,profit_harvester,3LJ5UKGXWLSGC,2026-06-26T01:37:36+00:00,2026-06-26T01:37:36.598000+00:00
