ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id,time_setup_iso,time_done_iso,time_setup_msc_iso,time_done_msc_iso
46678,1782154438,1782154438896,1782154438,1782154438909,0,0,0,0,4,0,46678,0,0,0.01,0.0,0.0,0.0,0.0,0.70031,0.0,AUDUSD,,3LIVSRVOGNV6R,2026-06-22T18:53:58+00:00,2026-06-22T18:53:58+00:00,2026-06-22T18:53:58.896000+00:00,2026-06-22T18:53:58.909000+00:00
226826,1782330924,1782330924380,1782330924,1782330924392,0,1,0,1,4,0,46678,0,0,0.01,0.0,0.0,0.0,0.0,0.6887,0.0,AUDUSD,,3LJ2TCCLQ75E5,2026-06-24T19:55:24+00:00,2026-06-24T19:55:24+00:00,2026-06-24T19:55:24.380000+00:00,2026-06-24T19:55:24.392000+00:00
642742,1782430240,1782430240714,1782430240,1782430240725,0,0,0,1,4,10181,642742,0,3,0.08,0.0,0.0,0.0,0.0,1.3192,0.0,GBPUSD,strategy_v0_reba,3LJ5NMS52SPXU,2026-06-25T23:30:40+00:00,2026-06-25T23:30:40+00:00,2026-06-25T23:30:40.714000+00:00,2026-06-25T23:30:40.725000+00:00
642744,1782430240,1782430240738,1782430240,1782430240755,0,0,0,1,4,10181,642744,0,3,0.14,0.0,0.0,0.0,0.0,0.69081,0.0,AUDUSD,strategy_v0_reba,3LJ5NMS5S3JBO,2026-06-25T23:30:40+00:00,2026-06-25T23:30:40+00:00,2026-06-25T23:30:40.738000+00:00,2026-06-25T23:30:40.755000+00:00
653980,1782432565,1782432565396,1782432565,1782432565408,0,0,0,1,4,0,653980,0,0,0.01,0.0,0.0,0.0,0.0,161.792,0.0,USDJPY,,3LJ5PQH62BBSL,2026-06-26T00:09:25+00:00,2026-06-26T00:09:25+00:00,2026-06-26T00:09:25.396000+00:00,2026-06-26T00:09:25.408000+00:00
654450,1782432768,1782432768276,1782432768,1782432768290,0,0,0,0,4,0,653980,0,0,0.1,0.0,0.0,0.0,0.0,161.793,0.0,USDJPY,,3LJ5PWE4DUJAF,2026-06-26T00:12:48+00:00,2026-06-26T00:12:48+00:00,2026-06-26T00:12:48.276000+00:00,2026-06-26T00:12:48.290000+00:00
654652,1782432849,1782432849192,1782432849,1782432849218,0,0,0,0,4,0,653980,0,0,0.2,0.0,0.0,0.0,0.0,161.792,0.0,USDJPY,,3LJ5PYPHTXPLJ,2026-06-26T00:14:09+00:00,2026-06-26T00:14:09+00:00,2026-06-26T00:14:09.192000+00:00,2026-06-26T00:14:09.218000+00:00
654812,1782432899,1782432899587,1782432899,1782432899601,0,0,0,0,4,0,653980,0,0,1.0,0.0,0.0,0.0,0.0,161.804,0.0,USDJPY,,3LJ5Q26FQ2CQR,2026-06-26T00:14:59+00:00,2026-06-26T00:14:59+00:00,2026-06-26T00:14:59.587000+00:00,2026-06-26T00:14:59.601000+00:00
655198,1782432955,1782432955257,1782432955,1782432955273,0,0,0,0,4,0,653980,0,0,1.0,0.0,0.0,0.0,0.0,161.809,0.0,USDJPY,,3LJ5Q3SAU7VYP,2026-06-26T00:15:55+00:00,2026-06-26T00:15:55+00:00,2026-06-26T00:15:55.257000+00:00,2026-06-26T00:15:55.273000+00:00
655970,1782433088,1782433088045,1782433088,1782433088062,0,1,0,0,4,0,653980,0,0,1.0,0.0,0.0,0.0,0.0,161.81,0.0,USDJPY,,3LJ5Q7NWAXS24,2026-06-26T00:18:08+00:00,2026-06-26T00:18:08+00:00,2026-06-26T00:18:08.045000+00:00,2026-06-26T00:18:08.062000+00:00
656025,1782433101,1782433101084,1782433101,1782433101106,0,0,0,0,4,0,653980,0,0,1.31,0.0,0.0,0.0,0.0,161.818,0.0,USDJPY,,3LJ5QA22U4WXC,2026-06-26T00:18:21+00:00,2026-06-26T00:18:21+00:00,2026-06-26T00:18:21.084000+00:00,2026-06-26T00:18:21.106000+00:00
656757,1782433276,1782433276970,1782433276,1782433276990,0,1,0,0,4,0,653980,0,0,1.31,0.0,0.0,0.0,0.0,161.812,0.0,USDJPY,,3LJ5QF5ULKJQ4,2026-06-26T00:21:16+00:00,2026-06-26T00:21:16+00:00,2026-06-26T00:21:16.970000+00:00,2026-06-26T00:21:16.990000+00:00
656988,1782433328,1782433328048,1782433328,1782433328061,0,1,0,0,4,0,642742,0,0,0.08,0.0,0.0,0.0,0.0,1.31884,0.0,GBPUSD,,3LJ5QGNGSUNVR,2026-06-26T00:22:08+00:00,2026-06-26T00:22:08+00:00,2026-06-26T00:22:08.048000+00:00,2026-06-26T00:22:08.061000+00:00
657065,1782433350,1782433350837,1782433350,1782433350857,0,1,0,0,4,0,653980,0,0,1.31,0.0,0.0,0.0,0.0,161.814,0.0,USDJPY,,3LJ5QHCNZ23WP,2026-06-26T00:22:30+00:00,2026-06-26T00:22:30+00:00,2026-06-26T00:22:30.837000+00:00,2026-06-26T00:22:30.857000+00:00
657148,1782433382,1782433382265,1782433382,1782433382279,0,1,0,0,4,0,642744,0,0,0.14,0.0,0.0,0.0,0.0,0.69074,0.0,AUDUSD,,3LJ5QI7WN6ZW7,2026-06-26T00:23:02+00:00,2026-06-26T00:23:02+00:00,2026-06-26T00:23:02.265000+00:00,2026-06-26T00:23:02.279000+00:00
657215,1782433392,1782433392421,1782433392,1782433392441,0,0,0,0,4,0,657215,0,0,1.31,0.0,0.0,0.0,0.0,161.811,0.0,USDJPY,,3LJ5QIJFDL5I4,2026-06-26T00:23:12+00:00,2026-06-26T00:23:12+00:00,2026-06-26T00:23:12.421000+00:00,2026-06-26T00:23:12.441000+00:00
657771,1782433495,1782433495752,1782433495,1782433495773,0,1,0,0,4,0,657215,0,0,1.31,0.0,0.0,0.0,0.0,161.814,0.0,USDJPY,,3LJ5QLJMSPASN,2026-06-26T00:24:55+00:00,2026-06-26T00:24:55+00:00,2026-06-26T00:24:55.752000+00:00,2026-06-26T00:24:55.773000+00:00
658750,1782433622,1782433622661,1782433622,1782433622682,0,0,0,0,4,0,658750,0,0,5.0,0.0,0.0,0.0,0.0,161.808,0.0,USDJPY,,3LJ5QP7SZPU76,2026-06-26T00:27:02+00:00,2026-06-26T00:27:02+00:00,2026-06-26T00:27:02.661000+00:00,2026-06-26T00:27:02.682000+00:00
661133,1782434108,1782434108716,1782434108,1782434108737,0,1,0,0,4,0,658750,0,0,5.0,0.0,0.0,0.0,0.0,161.813,0.0,USDJPY,,3LJ5R5EIL3TXJ,2026-06-26T00:35:08+00:00,2026-06-26T00:35:08+00:00,2026-06-26T00:35:08.716000+00:00,2026-06-26T00:35:08.737000+00:00
662562,1782434353,1782434353233,1782434353,1782434353247,0,0,0,0,4,0,662562,0,0,1.0,0.0,0.0,0.0,0.0,1.42023,0.0,USDCAD,,3LJ5REI7PPVWP,2026-06-26T00:39:13+00:00,2026-06-26T00:39:13+00:00,2026-06-26T00:39:13.233000+00:00,2026-06-26T00:39:13.247000+00:00
663707,1782434599,1782434599850,1782434599,1782434599866,0,1,0,0,4,0,662562,0,0,1.0,0.0,0.0,0.0,0.0,1.42025,0.0,USDCAD,,3LJ5RLNVJKIKT,2026-06-26T00:43:19+00:00,2026-06-26T00:43:19+00:00,2026-06-26T00:43:19.850000+00:00,2026-06-26T00:43:19.866000+00:00
663907,1782434670,1782434670156,1782434670,1782434670174,0,1,0,0,4,0,663907,0,0,1.0,0.0,0.0,0.0,0.0,1.4202,0.0,USDCAD,,3LJ5RNPESK5XL,2026-06-26T00:44:30+00:00,2026-06-26T00:44:30+00:00,2026-06-26T00:44:30.156000+00:00,2026-06-26T00:44:30.174000+00:00
664268,1782434743,1782434743661,1782434743,1782434743676,0,0,0,1,4,10181,664268,0,3,0.08,0.0,0.0,0.0,0.0,1.31874,0.0,GBPUSD,strategy_v0_reba,3LJ5RPTTH7NU4,2026-06-26T00:45:43+00:00,2026-06-26T00:45:43+00:00,2026-06-26T00:45:43.661000+00:00,2026-06-26T00:45:43.676000+00:00
